step,time_s,key,value
0,168.5,reward,0.050
0,168.5,staleness,0
0,168.5,loss,-0.000
0,168.5,pg,-0.000
0,168.5,ratio,1.000
0,168.5,gnorm,2.940
0,168.5,queued,1
0,168.5,dropped,0
0,168.5,received,2
0,168.5,snap_dropped,0
0,168.5,logp_gap,0.000
0,1333.8,eval_acc,0.039
1,1440.3,reward,0.075
1,1440.3,staleness,0
1,1440.3,loss,0.000
1,1440.3,pg,0.000
1,1440.3,ratio,1.000
1,1440.3,gnorm,2.626
1,1440.3,queued,3
1,1440.3,dropped,9
1,1440.3,received,14
1,1440.3,snap_dropped,0
1,1440.3,logp_gap,0.000
2,1534.5,reward,0.119
2,1534.5,staleness,1
2,1534.5,loss,-0.005
2,1534.5,pg,-0.005
2,1534.5,ratio,0.998
2,1534.5,gnorm,2.281
2,1534.5,queued,3
2,1534.5,dropped,9
2,1534.5,received,15
2,1534.5,snap_dropped,0
2,1534.5,logp_gap,0.000
3,1632.1,reward,0.181
3,1632.1,staleness,2
3,1632.1,loss,-0.005
3,1632.1,pg,-0.005
3,1632.1,ratio,0.991
3,1632.1,gnorm,0.844
3,1632.1,queued,3
3,1632.1,dropped,9
3,1632.1,received,16
3,1632.1,snap_dropped,0
3,1632.1,logp_gap,0.000
4,1725.5,reward,0.150
4,1725.5,staleness,2
4,1725.5,loss,-0.002
4,1725.5,pg,-0.002
4,1725.5,ratio,1.004
4,1725.5,gnorm,2.060
4,1725.5,queued,1
4,1725.5,dropped,11
4,1725.5,received,17
4,1725.5,snap_dropped,0
4,1725.5,logp_gap,0.000
5,1822.9,reward,0.069
5,1822.9,staleness,2
5,1822.9,loss,-0.003
5,1822.9,pg,-0.003
5,1822.9,ratio,0.996
5,1822.9,gnorm,2.934
5,1822.9,queued,1
5,1822.9,dropped,11
5,1822.9,received,18
5,1822.9,snap_dropped,0
5,1822.9,logp_gap,0.000
5,2128.2,eval_acc,0.195
6,2213.6,reward,0.219
6,2213.6,staleness,0
6,2213.6,loss,-0.000
6,2213.6,pg,-0.000
6,2213.6,ratio,1.000
6,2213.6,gnorm,1.385
6,2213.6,queued,2
6,2213.6,dropped,13
6,2213.6,received,22
6,2213.6,snap_dropped,0
6,2213.6,logp_gap,0.000
7,2308.6,reward,0.087
7,2308.6,staleness,1
7,2308.6,loss,-0.002
7,2308.6,pg,-0.002
7,2308.6,ratio,1.001
7,2308.6,gnorm,2.886
7,2308.6,queued,2
7,2308.6,dropped,13
7,2308.6,received,23
7,2308.6,snap_dropped,0
7,2308.6,logp_gap,0.000
8,2416.9,reward,0.269
8,2416.9,staleness,2
8,2416.9,loss,-0.002
8,2416.9,pg,-0.002
8,2416.9,ratio,0.999
8,2416.9,gnorm,1.165
8,2416.9,queued,2
8,2416.9,dropped,13
8,2416.9,received,24
8,2416.9,snap_dropped,0
8,2416.9,logp_gap,0.000
9,2525.3,reward,0.081
9,2525.3,staleness,2
9,2525.3,loss,-0.000
9,2525.3,pg,-0.000
9,2525.3,ratio,0.998
9,2525.3,gnorm,2.057
9,2525.3,queued,1
9,2525.3,dropped,14
9,2525.3,received,25
9,2525.3,snap_dropped,0
9,2525.3,logp_gap,0.000
10,2630.6,reward,0.094
10,2630.6,staleness,2
10,2630.6,loss,-0.001
10,2630.6,pg,-0.001
10,2630.6,ratio,1.000
10,2630.6,gnorm,0.971
10,2630.6,queued,1
10,2630.6,dropped,14
10,2630.6,received,26
