step,time_s,key,value
0,72.8,reward,0.581
0,72.8,staleness,0
0,72.8,loss,0.000
0,72.8,pg,0.000
0,72.8,ratio,1.000
0,72.8,gnorm,0.035
0,72.8,queued,0
0,72.8,dropped,0
0,72.8,received,8
0,72.8,logp_gap,0.026
0,98.9,eval_acc,0.391
1,108.1,reward,0.539
1,108.1,staleness,1
1,108.1,loss,0.000
1,108.1,pg,0.000
1,108.1,ratio,1.001
1,108.1,gnorm,0.052
1,108.1,queued,0
1,108.1,dropped,0
1,108.1,received,16
1,108.1,logp_gap,0.027
2,125.3,reward,0.555
2,125.3,staleness,1
2,125.3,loss,0.000
2,125.3,pg,0.000
2,125.3,ratio,1.001
2,125.3,gnorm,0.069
2,125.3,queued,0
2,125.3,dropped,0
2,125.3,received,24
2,125.3,logp_gap,0.026
3,152.9,reward,0.527
3,152.9,staleness,1
3,152.9,loss,0.000
3,152.9,pg,0.000
3,152.9,ratio,1.001
3,152.9,gnorm,0.067
3,152.9,queued,0
3,152.9,dropped,0
3,152.9,received,32
3,152.9,logp_gap,0.029
4,180.0,reward,0.599
4,180.0,staleness,1
4,180.0,loss,-0.000
4,180.0,pg,-0.000
4,180.0,ratio,1.001
4,180.0,gnorm,0.041
4,180.0,queued,0
4,180.0,dropped,0
4,180.0,received,40
4,180.0,logp_gap,0.025
5,207.7,reward,0.652
5,207.7,staleness,1
5,207.7,loss,0.000
5,207.7,pg,0.000
5,207.7,ratio,1.001
5,207.7,gnorm,0.030
5,207.7,queued,0
5,207.7,dropped,0
5,207.7,received,48
5,207.7,logp_gap,0.029
6,235.4,reward,0.656
6,235.4,staleness,1
6,235.4,loss,0.000
6,235.4,pg,0.000
6,235.4,ratio,1.001
6,235.4,gnorm,0.036
6,235.4,queued,0
6,235.4,dropped,0
6,235.4,received,56
6,235.4,logp_gap,0.027
7,263.3,reward,0.583
7,263.3,staleness,1
7,263.3,loss,0.000
7,263.3,pg,0.000
7,263.3,ratio,1.001
7,263.3,gnorm,0.029
7,263.3,queued,0
7,263.3,dropped,0
7,263.3,received,64
7,263.3,logp_gap,0.026
8,291.6,reward,0.599
8,291.6,staleness,1
8,291.6,loss,0.000
8,291.6,pg,0.000
8,291.6,ratio,1.001
8,291.6,gnorm,0.020
8,291.6,queued,0
8,291.6,dropped,0
8,291.6,received,72
8,291.6,logp_gap,0.028
9,317.8,reward,0.621
9,317.8,staleness,1
9,317.8,loss,0.000
9,317.8,pg,0.000
9,317.8,ratio,1.001
9,317.8,gnorm,0.024
9,317.8,queued,0
9,317.8,dropped,0
9,317.8,received,80
9,317.8,logp_gap,0.028
10,345.3,reward,0.708
10,345.3,staleness,1
10,345.3,loss,0.000
10,345.3,pg,0.000
10,345.3,ratio,1.001
10,345.3,gnorm,0.035
10,345.3,queued,0
10,345.3,dropped,0
10,345.3,received,88
10,345.3,logp_gap,0.022
11,372.7,reward,0.555
11,372.7,staleness,1
11,372.7,loss,-0.000
11,372.7,pg,-0.000
11,372.7,ratio,1.001
11,372.7,gnorm,0.038
11,372.7,queued,0
11,372.7,dropped,0
11,372.7,received,96
11,372.7,logp_gap,0.024
12,400.1,reward,0.717
12,400.1,staleness,1
12,400.1,loss,0.000
12,400.1,pg,0.000
12,400.1,ratio,1.001
12,400.1,gnorm,0.019
12,400.1,queued,0
12,400.1,dropped,0
12,400.1,received,104
12,400.1,logp_gap,0.027
13,428.9,reward,0.644
13,428.9,staleness,1
13,428.9,loss,0.000
13,428.9,pg,0.000
13,428.9,ratio,1.001
13,428.9,gnorm,0.029
13,428.9,queued,0
13,428.9,dropped,0
13,428.9,received,112
13,428.9,logp_gap,0.024
14,455.5,reward,0.633
14,455.5,staleness,1
14,455.5,loss,0.000
14,455.5,pg,0.000
14,455.5,ratio,1.001
14,455.5,gnorm,0.034
14,455.5,queued,0
14,455.5,dropped,0
14,455.5,received,120
14,455.5,logp_gap,0.025
15,483.5,reward,0.598
15,483.5,staleness,1
15,483.5,loss,0.000
15,483.5,pg,0.000
15,483.5,ratio,1.001
15,483.5,gnorm,0.025
15,483.5,queued,0
15,483.5,dropped,0
